"","Tournament_Game","Year","Month","Day","Team1","Team1_Seed","Team1_Score","Team2","Team2_Seed","Team2_Score"
"188","NCAA, National - National Semifinal","2013","4","6","Syracuse",4,56,"Michigan",4,61
"189","NCAA, National - National Final","2013","4","8","Michigan",4,76,"Louisville",1,82
"190","NCAA, South - Second Round","2014","3","20","Florida",1,67,"Albany NY",16,55
"191","NCAA, East - Second Round","2014","3","20","Villanova",2,73,"Milwaukee",15,53
"192","NCAA, West - Second Round","2014","3","20","Wisconsin",2,75,"American",15,35
"193","NCAA, Midwest - Second Round","2014","3","20","Wofford",15,40,"Michigan",2,57
"194","NCAA, South - Second Round","2014","3","20","Western Michigan",14,53,"Syracuse",3,77
"195","NCAA, Midwest - Second Round","2014","3","20","Manhattan",13,64,"Louisville",4,71
"196","NCAA, East - Second Round","2014","3","20","Michigan State",4,93,"Delaware",13,78
"197","NCAA, West - Second Round","2014","3","20","San Diego State",4,73,"New Mexico State",13,69
"198","NCAA, East - Second Round","2014","3","20","Harvard",12,61,"Cincinnati",5,57
"199","NCAA, West - Second Round","2014","3","20","Oklahoma",5,75,"North Dakota State",12,80
"200","NCAA, Midwest - Second Round","2014","3","20","Saint Louis",5,83,"NC State",12,80
"201","NCAA, South - Second Round","2014","3","20","Ohio State",6,59,"Dayton",11,60
"202","NCAA, West - Second Round","2014","3","20","Oregon",7,87,"BYU",10,68
"203","NCAA, East - Second Round","2014","3","20","St Josephs",10,81,"UConn",7,89
"204","NCAA, Midwest - Second Round","2014","3","20","Texas",7,87,"Arizona State",10,85
"205","NCAA, South - Second Round","2014","3","20","Pitt",9,77,"Colorado",8,48
"206","NCAA, East - Second Round","2014","3","21","Virginia",1,70,"Coastal Carolina",16,59
"207","NCAA, West - Second Round","2014","3","21","Weber State",16,59,"Arizona",1,68
"208","NCAA, Midwest - Second Round","2014","3","21","Wichita State",1,64,"Cal Poly",16,37
"209","NCAA, South - Second Round","2014","3","21","Kansas",2,80,"Eastern Kentucky",15,69
"210","NCAA, West - Second Round","2014","3","21","Louisiana",14,66,"Creighton",3,76
"211","NCAA, Midwest - Second Round","2014","3","21","Mercer",14,78,"Duke",3,71
"212","NCAA, East - Second Round","2014","3","21","North Carolina Central",14,75,"Iowa State",3,93
"213","NCAA, South - Second Round","2014","3","21","UCLA",4,76,"Tulsa",13,59
"214","NCAA, South - Second Round","2014","3","21","VCU",5,75,"Stephen F Austin",12,77
"215","NCAA, West - Second Round","2014","3","21","Nebraska",11,60,"Baylor",6,74
"216","NCAA, East - Second Round","2014","3","21","Providence",11,77,"UNC",6,79
"217","NCAA, Midwest - Second Round","2014","3","21","Tennessee",11,86,"UMass",6,67
"218","NCAA, South - Second Round","2014","3","21","Stanford",10,58,"New Mexico",7,53
"219","NCAA, Midwest - Second Round","2014","3","21","Kentucky",8,56,"Kansas State",9,49
"220","NCAA, East - Second Round","2014","3","21","Memphis",8,71,"George Washington",9,66
"221","NCAA, West - Second Round","2014","3","21","Oklahoma State",9,77,"Gonzaga",8,85
"222","NCAA, South - Third Round","2014","3","22","Pitt",9,45,"Florida",1,61
"223","NCAA, Midwest - Third Round","2014","3","22","Texas",7,65,"Michigan",2,79
"224","NCAA, East - Third Round","2014","3","22","Villanova",2,65,"UConn",7,77
"225","NCAA, West - Third Round","2014","3","22","Wisconsin",2,85,"Oregon",7,77
"226","NCAA, South - Third Round","2014","3","22","Syracuse",3,53,"Dayton",11,55
"227","NCAA, East - Third Round","2014","3","22","Michigan State",4,80,"Harvard",12,73
"228","NCAA, Midwest - Third Round","2014","3","22","Saint Louis",5,51,"Louisville",4,66
"229","NCAA, West - Third Round","2014","3","22","San Diego State",4,63,"North Dakota State",12,44
"230","NCAA, West - Third Round","2014","3","23","Gonzaga",8,61,"Arizona",1,84
"231","NCAA, East - Third Round","2014","3","23","Virginia",1,78,"Memphis",8,60
"232","NCAA, Midwest - Third Round","2014","3","23","Wichita State",1,76,"Kentucky",8,78
"233","NCAA, South - Third Round","2014","3","23","Stanford",10,60,"Kansas",2,57
"234","NCAA, West - Third Round","2014","3","23","Creighton",3,55,"Baylor",6,85
"235","NCAA, East - Third Round","2014","3","23","UNC",6,83,"Iowa State",3,85
"236","NCAA, South - Third Round","2014","3","23","UCLA",4,77,"Stephen F Austin",12,60
"237","NCAA, Midwest - Third Round","2014","3","23","Tennessee",11,83,"Mercer",14,63
"238","NCAA, West - Regional Semifinal","2014","3","27","San Diego State",4,64,"Arizona",1,70
"239","NCAA, South - Regional Semifinal","2014","3","27","UCLA",4,68,"Florida",1,79
"240","NCAA, West - Regional Semifinal","2014","3","27","Wisconsin",2,69,"Baylor",6,52
"241","NCAA, South - Regional Semifinal","2014","3","27","Stanford",10,72,"Dayton",11,82
"242","NCAA, East - Regional Semifinal","2014","3","28","Virginia",1,59,"Michigan State",4,61
