"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"296","NCAA, Midwest - Second Round","2015","3","20",62,65,13,"Valparaiso",4,"Maryland"
"297","NCAA, Midwest - Second Round","2015","3","20",68,62,5,"West Virginia",12,"Buffalo"
"298","NCAA, East - Second Round","2015","3","20",54,71,12,"Wyoming",5,"Northern Iowa"
"299","NCAA, East - Second Round","2015","3","20",53,66,6,"Providence",11,"Dayton"
"300","NCAA, South - Second Round","2015","3","20",83,52,7,"Iowa",10,"Davidson"
"301","NCAA, East - Second Round","2015","3","20",70,63,7,"Michigan State",10,"Georgia"
"302","NCAA, Midwest - Second Round","2015","3","20",81,76,7,"Wichita State",10,"Indiana"
"303","NCAA, West - Second Round","2015","3","20",79,73,8,"Oregon",9,"Oklahoma State"
"304","NCAA, South - Second Round","2015","3","20",64,76,9,"St Johns NY",8,"San Diego State"
"305","NCAA, Midwest - Third Round","2015","3","21",64,51,1,"Kentucky",8,"Cincinnati"
"306","NCAA, East - Third Round","2015","3","21",68,71,1,"Villanova",8,"NC State"
"307","NCAA, West - Third Round","2015","3","21",58,73,10,"Ohio State",2,"Arizona"
"308","NCAA, Midwest - Third Round","2015","3","21",67,64,3,"Notre Dame",6,"Butler"
"309","NCAA, West - Third Round","2015","3","21",87,78,4,"UNC",5,"Arkansas"
"310","NCAA, South - Third Round","2015","3","21",75,64,5,"Utah",4,"Georgetown"
"311","NCAA, West - Third Round","2015","3","21",75,67,6,"Xavier",14,"Georgia State"
"312","NCAA, South - Third Round","2015","3","21",92,75,11,"UCLA",14,"UAB"
"313","NCAA, South - Third Round","2015","3","22",49,68,8,"San Diego State",1,"Duke"
"314","NCAA, West - Third Round","2015","3","22",72,65,1,"Wisconsin",8,"Oregon"
"315","NCAA, South - Third Round","2015","3","22",68,87,7,"Iowa",2,"Gonzaga"
"316","NCAA, East - Third Round","2015","3","22",54,60,2,"Virginia",7,"Michigan State"
"317","NCAA, Midwest - Third Round","2015","3","22",78,65,7,"Wichita State",2,"Kansas"
"318","NCAA, East - Third Round","2015","3","22",72,66,3,"Oklahoma",11,"Dayton"
"319","NCAA, East - Third Round","2015","3","22",53,66,5,"Northern Iowa",4,"Louisville"
"320","NCAA, Midwest - Third Round","2015","3","22",69,59,5,"West Virginia",4,"Maryland"
"321","NCAA, Midwest - Regional Semifinal","2015","3","26",39,78,5,"West Virginia",1,"Kentucky"
"322","NCAA, West - Regional Semifinal","2015","3","26",79,72,1,"Wisconsin",4,"UNC"
"323","NCAA, West - Regional Semifinal","2015","3","26",60,68,6,"Xavier",2,"Arizona"
"324","NCAA, Midwest - Regional Semifinal","2015","3","26",70,81,7,"Wichita State",3,"Notre Dame"
"325","NCAA, South - Regional Semifinal","2015","3","27",57,63,5,"Utah",1,"Duke"
"326","NCAA, South - Regional Semifinal","2015","3","27",62,74,11,"UCLA",2,"Gonzaga"
"327","NCAA, East - Regional Semifinal","2015","3","27",58,62,3,"Oklahoma",7,"Michigan State"
